skin_name,price_rp,rarity,champion,skin_name_norm
Marauder Ashe,750,Legacy,Ashe,marauderashe
PROJECT Ashe,1820,Legendary,Ashe,projectashe
Aurelion Sol,880,Legacy,Aurelion Sol,aurelionsol
Ashen Lord Aurelion Sol,1350,Epic,Aurelion Sol,ashenlordaurelionsol
Mecha Aurelion Sol,1350,Epic,Aurelion Sol,mechaaurelionsol
Aurora,975,Legacy,Aurora,aurora
Battle Bunny Aurora,1350,Epic,Aurora,battlebunnyaurora
Azir,880,Legacy,Azir,azir
Galactic Azir,975,Legacy,Azir,galacticazir
Gravelord Azir,1350,Epic,Azir,gravelordazir
SKT T1 Azir,975,Legacy,Azir,sktt1azir
Warring Kingdoms Azir,1350,Epic,Azir,warringkingdomsazir
Elderwood Azir,1350,Epic,Azir,elderwoodazir
Bard,880,Legacy,Bard,bard
Bel'Veth,975,Legacy,Bel'Veth,belveth
Battle Boss Bel'Veth,1350,Epic,Bel'Veth,battlebossbelveth
Blitzcrank,790,Legacy,Blitzcrank,blitzcrank
Brand,880,Legacy,Brand,brand
Apocalyptic Brand,750,Legacy,Brand,apocalypticbrand
Vandal Brand,520,Legacy,Brand,vandalbrand
Cryocore Brand,975,Legacy,Brand,cryocorebrand
Zombie Brand,1820,Legendary,Brand,zombiebrand
Spirit Fire Brand,1350,Epic,Brand,spiritfirebrand
Battle Boss Brand,1350,Epic,Brand,battlebossbrand
Arclight Brand,1350,Epic,Brand,arclightbrand
Eternal Dragon Brand,1350,Epic,Brand,eternaldragonbrand
Braum,880,Legacy,Braum,braum
Dragonslayer Braum,975,Legacy,Braum,dragonslayerbraum
Briar,975,Legacy,Briar,briar
Street Demons Briar,1350,Epic,Briar,streetdemonsbriar
Caitlyn,880,Legacy,Caitlyn,caitlyn
Camille,975,Legacy,Camille,camille
Program Camille,1350,Epic,Camille,programcamille
Coven Camille,1350,Epic,Camille,covencamille
Cassiopeia,880,Legacy,Cassiopeia,cassiopeia
Cho'Gath,585,Legacy,Cho'Gath,chogath
Nightmare Cho'Gath,520,Legacy,Cho'Gath,nightmarechogath
Gentleman Cho'Gath,1820,Legendary,Cho'Gath,gentlemanchogath
Loch Ness Cho'Gath,520,Legacy,Cho'Gath,lochnesschogath
Jurassic Cho'Gath,975,Legacy,Cho'Gath,jurassicchogath
Battlecast Prime Cho'Gath,1820,Legendary,Cho'Gath,battlecastprimechogath
Corki,790,Legacy,Corki,corki
Ice Toboggan Corki,1820,Legendary,Corki,icetoboggancorki
Red Baron Corki,1820,Legendary,Corki,redbaroncorki
Hot Rod Corki,520,Legacy,Corki,hotrodcorki
Urfrider Corki,975,Legacy,Corki,urfridercorki
Dragonwing Corki,975,Legacy,Corki,dragonwingcorki
Darius,880,Legacy,Darius,darius
Diana,880,Legacy,Diana,diana
Dark Valkyrie Diana,975,Legacy,Diana,darkvalkyriediana
Lunar Goddess Diana,975,Legacy,Diana,lunargoddessdiana
Dr. Mundo,260,Legacy,Dr. Mundo,drmundo
Toxic Dr. Mundo,520,Legacy,Dr. Mundo,toxicdrmundo
Mr. Mundoverse Dr. Mundo,520,Legacy,Dr. Mundo,mrmundoversedrmundo
Corporate Mundo Dr. Mundo,1820,Legendary,Dr. Mundo,corporatemundodrmundo
Draven,880,Legacy,Draven,draven
Soul Reaver Draven,1350,Epic,Draven,soulreaverdraven
Gladiator Draven,975,Legacy,Draven,gladiatordraven
Primetime Draven,975,Legacy,Draven,primetimedraven
Ekko,880,Legacy,Ekko,ekko
Sandstorm Ekko,975,Legacy,Ekko,sandstormekko
Elise,880,Legacy,Elise,elise
Death Blossom Elise,975,Legacy,Elise,deathblossomelise
Blood Moon Elise,975,Legacy,Elise,bloodmoonelise
SKT T1 Elise,975,Legacy,Elise,sktt1elise
Super Galaxy Elise,1350,Epic,Elise,supergalaxyelise
Bewitching Elise,1350,Epic,Elise,bewitchingelise
Evelynn,585,Legacy,Evelynn,evelynn
Shadow Evelynn,520,Legacy,Evelynn,shadowevelynn
Masquerade Evelynn,520,Legacy,Evelynn,masqueradeevelynn
Tango Evelynn,520,Legacy,Evelynn,tangoevelynn
Safecracker Evelynn,750,Legacy,Evelynn,safecrackerevelynn
Blood Moon Evelynn,975,Legacy,Evelynn,bloodmoonevelynn
KDA Evelynn,1350,Epic,Evelynn,kdaevelynn
Sugar Rush Evelynn,1350,Epic,Evelynn,sugarrushevelynn
Ezreal,880,Legacy,Ezreal,ezreal
Nottingham Ezreal,520,Legacy,Ezreal,nottinghamezreal
Striker Ezreal,520,Legacy,Ezreal,strikerezreal
Frosted Ezreal,520,Legacy,Ezreal,frostedezreal
Explorer Ezreal,750,Legacy,Ezreal,explorerezreal
Pulsefire Ezreal,3250,Ultimate,Ezreal,pulsefireezreal
Fiddlesticks,585,Legacy,Fiddlesticks,fiddlesticks
Union Jack Fiddlesticks,520,Legacy,Fiddlesticks,unionjackfiddlesticks
Spectral Fiddlesticks,520,Legacy,Fiddlesticks,spectralfiddlesticks
Fiddle Me Timbers Fiddlesticks,750,Legacy,Fiddlesticks,fiddlemetimbersfiddlesticks
Bandito Fiddlesticks,520,Legacy,Fiddlesticks,banditofiddlesticks
Fiora,880,Legacy,Fiora,fiora
Royal Guard Fiora,520,Legacy,Fiora,royalguardfiora
Nightraven Fiora,750,Legacy,Fiora,nightravenfiora
Headmistress Fiora,975,Legacy,Fiora,headmistressfiora
Fizz,880,Legacy,Fizz,fizz
Galio,790,Legacy,Galio,galio
Enchanted Galio,520,Legacy,Galio,enchantedgalio
Hextech Galio,520,Legacy,Galio,hextechgalio
Commando Galio,520,Legacy,Galio,commandogalio
Gatekeeper Galio,1820,Legendary,Galio,gatekeepergalio
Debonair Galio,750,Legacy,Galio,debonairgalio
Birdio Galio,975,Legacy,Galio,birdiogalio
Gangplank,790,Legacy,Gangplank,gangplank
Spooky Gangplank,520,Legacy,Gangplank,spookygangplank
Minuteman Gangplank,520,Legacy,Gangplank,minutemangangplank
Sailor Gangplank,750,Legacy,Gangplank,sailorgangplank
Toy Soldier Gangplank,975,Legacy,Gangplank,toysoldiergangplank
Special Forces Gangplank,975,Legacy,Gangplank,specialforcesgangplank
Sultan Gangplank,975,Legacy,Gangplank,sultangangplank
Captain Gangplank,975,Legacy,Gangplank,captaingangplank
Dreadnova Gangplank,1350,Epic,Gangplank,dreadnovagangplank
Garen,260,Legacy,Garen,garen
Gnar,880,Legacy,Gnar,gnar
Dino Gnar,975,Legacy,Gnar,dinognar
Gragas,790,Legacy,Gragas,gragas
Scuba Gragas,975,Legacy,Gragas,scubagragas
Hillbilly Gragas,520,Legacy,Gragas,hillbillygragas
Santa Gragas,975,Legacy,Gragas,santagragas
"Gragas, Esq. Gragas",975,Legacy,Gragas,gragasesqgragas
Vandal Gragas,975,Legacy,Gragas,vandalgragas
Oktoberfest Gragas,975,Legacy,Gragas,oktoberfestgragas
Superfan Gragas,750,Legacy,Gragas,superfangragas
Fnatic Gragas,750,Legacy,Gragas,fnaticgragas
Gragas Caskbreaker Gragas,750,Legacy,Gragas,gragascaskbreakergragas
Arctic Ops Gragas,1350,Epic,Gragas,arcticopsgragas
Warden Gragas,1350,Epic,Gragas,wardengragas
Graves,880,Legacy,Graves,graves
Hired Gun Graves,520,Legacy,Graves,hiredgungraves
Jailbreak Graves,975,Legacy,Graves,jailbreakgraves
Crime City Graves,975,Legacy,Graves,crimecitygraves
Riot Graves,975,Legacy,Graves,riotgraves
Pool Party Graves,1350,Epic,Graves,poolpartygraves
Gwen,975,Legacy,Gwen,gwen
Space Groove Gwen,1350,Epic,Gwen,spacegroovegwen
Hecarim,880,Legacy,Hecarim,hecarim
Blood Knight Hecarim,975,Legacy,Hecarim,bloodknighthecarim
Reaper Hecarim,975,Legacy,Hecarim,reaperhecarim
Headless Hecarim,975,Legacy,Hecarim,headlesshecarim
Arcade Hecarim,1350,Epic,Hecarim,arcadehecarim
Elderwood Hecarim,1350,Epic,Hecarim,elderwoodhecarim
Worldbreaker Hecarim,750,Legacy,Hecarim,worldbreakerhecarim
High Noon Hecarim,1350,Epic,Hecarim,highnoonhecarim
Heimerdinger,790,Legacy,Heimerdinger,heimerdinger
Blast Zone Heimerdinger,520,Legacy,Heimerdinger,blastzoneheimerdinger
Alien Invader Heimerdinger,1820,Legendary,Heimerdinger,alieninvaderheimerdinger
Piltover Customs Heimerdinger,975,Legacy,Heimerdinger,piltovercustomsheimerdinger
Snowmerdinger Heimerdinger,975,Legacy,Heimerdinger,snowmerdingerheimerdinger
Hazmat Heimerdinger,975,Legacy,Heimerdinger,hazmatheimerdinger
Dragon Trainer Heimerdinger,1820,Legendary,Heimerdinger,dragontrainerheimerdinger
Pool Party Heimerdinger,1350,Epic,Heimerdinger,poolpartyheimerdinger
Hwei,975,Legacy,Hwei,hwei
Winterblessed Hwei,1350,Epic,Hwei,winterblessedhwei
Illaoi,880,Legacy,Illaoi,illaoi
Void Bringer Illaoi,1350,Epic,Illaoi,voidbringerillaoi
Resistance Illaoi,1350,Epic,Illaoi,resistanceillaoi
Irelia,880,Legacy,Irelia,irelia
Aviator Irelia,520,Legacy,Irelia,aviatorirelia
Nightblade Irelia,520,Legacy,Irelia,nightbladeirelia
Infiltrator Irelia,975,Legacy,Irelia,infiltratorirelia
Frostblade Irelia,975,Legacy,Irelia,frostbladeirelia
Ivern,975,Legacy,Ivern,ivern
Candy King Ivern,1350,Epic,Ivern,candykingivern
Dunkmaster Ivern,1350,Epic,Ivern,dunkmasterivern
Janna,585,Legacy,Janna,janna
Tempest Janna,520,Legacy,Janna,tempestjanna
Hextech Janna,975,Legacy,Janna,hextechjanna
Frost Queen Janna,975,Legacy,Janna,frostqueenjanna
Forecast Janna,1820,Legendary,Janna,forecastjanna
Fnatic Janna,750,Legacy,Janna,fnaticjanna
Star Guardian Janna,1350,Epic,Janna,starguardianjanna
Sacred Sword Janna,1350,Epic,Janna,sacredswordjanna
Jarvan IV,880,Legacy,Jarvan IV,jarvaniv
Commando Jarvan IV,520,Legacy,Jarvan IV,commandojarvaniv
Dragonslayer Jarvan IV,750,Legacy,Jarvan IV,dragonslayerjarvaniv
Darkforge Jarvan IV,975,Legacy,Jarvan IV,darkforgejarvaniv
Warring Kingdoms Jarvan IV,1350,Epic,Jarvan IV,warringkingdomsjarvaniv
Jax,585,Legacy,Jax,jax
The Mighty Jax,520,Legacy,Jax,themightyjax
Vandal Jax,520,Legacy,Jax,vandaljax
Angler Jax,975,Legacy,Jax,anglerjax
Jaximus Jax,975,Legacy,Jax,jaximusjax
Temple Jax,750,Legacy,Jax,templejax
Nemesis Jax,975,Legacy,Jax,nemesisjax
Jayce,880,Legacy,Jayce,jayce
Full Metal Jayce,1350,Epic,Jayce,fullmetaljayce
Debonair Jayce,975,Legacy,Jayce,debonairjayce
Forsaken Jayce,1350,Epic,Jayce,forsakenjayce
Jayce Brighthammer Jayce,750,Legacy,Jayce,jaycebrighthammerjayce
Battle Academia Jayce,1350,Epic,Jayce,battleacademiajayce
Jhin,880,Legacy,Jhin,jhin
High Noon Jhin,1350,Epic,Jhin,highnoonjhin
Jinx,880,Legacy,Jinx,jinx
Crime City Jinx,975,Legacy,Jinx,crimecityjinx
Firecracker Jinx,1350,Epic,Jinx,firecrackerjinx
K'Sante,975,Legacy,K'Sante,ksante
Empyrean K'Sante,1350,Epic,K'Sante,empyreanksante
Kai'Sa,975,Legacy,Kai'Sa,kaisa
Bullet Angel Kai'Sa,1350,Epic,Kai'Sa,bulletangelkaisa
Kalista,880,Legacy,Kalista,kalista
Blood Moon Kalista,975,Legacy,Kalista,bloodmoonkalista
Worlds 2015 Kalista,975,Legacy,Kalista,worlds2015kalista
Karma,790,Legacy,Karma,karma
Sakura Karma,520,Legacy,Karma,sakurakarma
Sun Goddess Karma,750,Legacy,Karma,sungoddesskarma
Traditional Karma,975,Legacy,Karma,traditionalkarma
Order of the Lotus Karma,975,Legacy,Karma,orderofthelotuskarma
Warden Karma,750,Legacy,Karma,wardenkarma
Winter Wonder Karma,1350,Epic,Karma,winterwonderkarma
Conqueror Karma,975,Legacy,Karma,conquerorkarma
Karthus,790,Legacy,Karthus,karthus
Phantom Karthus,460,Legacy,Karthus,phantomkarthus
Statue of Karthus Karthus,520,Legacy,Karthus,statueofkarthuskarthus
Grim Reaper Karthus,975,Legacy,Karthus,grimreaperkarthus
Kassadin,790,Legacy,Kassadin,kassadin
Festival Kassadin,520,Legacy,Kassadin,festivalkassadin
Deep One Kassadin,520,Legacy,Kassadin,deeponekassadin
Pre-Void Kassadin,520,Legacy,Kassadin,prevoidkassadin
Harbinger Kassadin,975,Legacy,Kassadin,harbingerkassadin
Cosmic Reaver Kassadin,1350,Epic,Kassadin,cosmicreaverkassadin
Count Kassadin,1350,Epic,Kassadin,countkassadin
Katarina,790,Legacy,Katarina,katarina
Mercenary Katarina,520,Legacy,Katarina,mercenarykatarina
Red Card Katarina,975,Legacy,Katarina,redcardkatarina
Bilgewater Katarina,975,Legacy,Katarina,bilgewaterkatarina
Kitty Cat Katarina,975,Legacy,Katarina,kittycatkatarina
High Command Katarina,750,Legacy,Katarina,highcommandkatarina
Sandstorm Katarina,975,Legacy,Katarina,sandstormkatarina
Slay Belle Katarina,975,Legacy,Katarina,slaybellekatarina
Warring Kingdoms Katarina,975,Legacy,Katarina,warringkingdomskatarina
Kayle,260,Legacy,Kayle,kayle
Viridian Kayle,520,Legacy,Kayle,viridiankayle
Kayn,975,Legacy,Kayn,kayn
Soulhunter Kayn,1350,Epic,Kayn,soulhunterkayn
Odyssey Kayn,1820,Legendary,Kayn,odysseykayn
Kennen,880,Legacy,Kennen,kennen
Deadly Kennen,520,Legacy,Kennen,deadlykennen
Swamp Master Kennen,520,Legacy,Kennen,swampmasterkennen
Karate Kennen,520,Legacy,Kennen,karatekennen
Kennen M.D. Kennen,975,Legacy,Kennen,kennenmdkennen
Kha'Zix,880,Legacy,Kha'Zix,khazix
Mecha Kha'Zix,1350,Epic,Kha'Zix,mechakhazix
Kindred,880,Legacy,Kindred,kindred
Shadowfire Kindred,1350,Epic,Kindred,shadowfirekindred
Super Galaxy Kindred,1350,Epic,Kindred,supergalaxykindred
Spirit Blossom Kindred,1350,Epic,Kindred,spiritblossomkindred
Kled,975,Legacy,Kled,kled
Sir Kled,975,Legacy,Kled,sirkled
Count Kledula Kled,1350,Epic,Kled,countkledulakled
Kog'Maw,880,Legacy,Kog'Maw,kogmaw
Caterpillar Kog'Maw,520,Legacy,Kog'Maw,caterpillarkogmaw
Sonoran Kog'Maw,520,Legacy,Kog'Maw,sonorankogmaw
Monarch Kog'Maw,520,Legacy,Kog'Maw,monarchkogmaw
Reindeer Kog'Maw,975,Legacy,Kog'Maw,reindeerkogmaw
Lion Dance Kog'Maw,1350,Epic,Kog'Maw,liondancekogmaw
Deep Sea Kog'Maw,975,Legacy,Kog'Maw,deepseakogmaw
Jurassic Kog'Maw,975,Legacy,Kog'Maw,jurassickogmaw
Battlecast Kog'Maw,1350,Epic,Kog'Maw,battlecastkogmaw
Pug'Maw Kog'Maw,975,Legacy,Kog'Maw,pugmawkogmaw
LeBlanc,790,Legacy,LeBlanc,leblanc
Prestigious LeBlanc,520,Legacy,LeBlanc,prestigiousleblanc
Lee Sin,880,Legacy,Lee Sin,leesin
Acolyte Lee Sin,750,Legacy,Lee Sin,acolyteleesin
Traditional Lee Sin,750,Legacy,Lee Sin,traditionalleesin
Dragon Fist Lee Sin,1350,Epic,Lee Sin,dragonfistleesin
Leona,880,Legacy,Leona,leona
Valkyrie Leona,520,Legacy,Leona,valkyrieleona
Defender Leona,750,Legacy,Leona,defenderleona
Iron Solari Leona,975,Legacy,Leona,ironsolarileona
Pool Party Leona,975,Legacy,Leona,poolpartyleona
Lillia,975,Legacy,Lillia,lillia
Spirit Blossom Lillia,1350,Epic,Lillia,spiritblossomlillia
Lissandra,880,Legacy,Lissandra,lissandra
Bloodstone Lissandra,975,Legacy,Lissandra,bloodstonelissandra
Blade Queen Lissandra,1350,Epic,Lissandra,bladequeenlissandra
Program Lissandra,1350,Epic,Lissandra,programlissandra
Coven Lissandra,1350,Epic,Lissandra,covenlissandra
Lucian,975,Legacy,Lucian,lucian
Lulu,880,Legacy,Lulu,lulu
Bittersweet Lulu,975,Legacy,Lulu,bittersweetlulu
Wicked Lulu,975,Legacy,Lulu,wickedlulu
Dragon Trainer Lulu,1350,Epic,Lulu,dragontrainerlulu
Lux,790,Legacy,Lux,lux
Sorceress Lux,520,Legacy,Lux,sorceresslux
Spellthief Lux,750,Legacy,Lux,spellthieflux
Commando Lux,520,Legacy,Lux,commandolux
Imperial Lux,975,Legacy,Lux,imperiallux
Steel Legion Lux,975,Legacy,Lux,steellegionlux
Star Guardian Lux,1350,Epic,Lux,starguardianlux
Elementalist Lux,3250,Ultimate,Lux,elementalistlux
Malphite,585,Legacy,Malphite,malphite
Shamrock Malphite,520,Legacy,Malphite,shamrockmalphite
Coral Reef Malphite,750,Legacy,Malphite,coralreefmalphite
Marble Malphite,520,Legacy,Malphite,marblemalphite
Obsidian Malphite,975,Legacy,Malphite,obsidianmalphite
Glacial Malphite,1350,Epic,Malphite,glacialmalphite
Mecha Malphite,1350,Epic,Malphite,mechamalphite
Malzahar,880,Legacy,Malzahar,malzahar
Vizier Malzahar,520,Legacy,Malzahar,viziermalzahar
Shadow Prince Malzahar,520,Legacy,Malzahar,shadowprincemalzahar
Djinn Malzahar,520,Legacy,Malzahar,djinnmalzahar
Overlord Malzahar,975,Legacy,Malzahar,overlordmalzahar
Snow Day Malzahar,975,Legacy,Malzahar,snowdaymalzahar
Maokai,880,Legacy,Maokai,maokai
Charred Maokai,975,Legacy,Maokai,charredmaokai
Totemic Maokai,520,Legacy,Maokai,totemicmaokai
Festive Maokai,975,Legacy,Maokai,festivemaokai
Haunted Maokai,975,Legacy,Maokai,hauntedmaokai
Goalkeeper Maokai,750,Legacy,Maokai,goalkeepermaokai
Meowkai Maokai,1350,Epic,Maokai,meowkaimaokai
Master Yi,260,Legacy,Master Yi,masteryi
Assassin Master Yi,390,Legacy,Master Yi,assassinmasteryi
Chosen Master Yi,520,Legacy,Master Yi,chosenmasteryi
Ionia Master Yi,975,Legacy,Master Yi,ioniamasteryi
Samurai Yi Master Yi,520,Legacy,Master Yi,samuraiyimasteryi
Headhunter Master Yi,975,Legacy,Master Yi,headhuntermasteryi
Milio,975,Legacy,Milio,milio
Faerie Court Milio,1350,Epic,Milio,faeriecourtmilio
Miss Fortune,790,Legacy,Miss Fortune,missfortune
Cowgirl Miss Fortune,750,Legacy,Miss Fortune,cowgirlmissfortune
Waterloo Miss Fortune,520,Legacy,Miss Fortune,waterloomissfortune
Secret Agent Miss Fortune,975,Legacy,Miss Fortune,secretagentmissfortune
Candy Cane Miss Fortune,975,Legacy,Miss Fortune,candycanemissfortune
Road Warrior Miss Fortune,520,Legacy,Miss Fortune,roadwarriormissfortune
Crime City Miss Fortune,975,Legacy,Miss Fortune,crimecitymissfortune
Arcade Miss Fortune,1350,Epic,Miss Fortune,arcademissfortune
Mordekaiser,585,Legacy,Mordekaiser,mordekaiser
Dragon Knight Mordekaiser,520,Legacy,Mordekaiser,dragonknightmordekaiser
Infernal Mordekaiser,520,Legacy,Mordekaiser,infernalmordekaiser
Pentakill Mordekaiser,975,Legacy,Mordekaiser,pentakillmordekaiser
Lord Mordekaiser,975,Legacy,Mordekaiser,lordmordekaiser
King of Clubs Mordekaiser,750,Legacy,Mordekaiser,kingofclubsmordekaiser
Dark Star Mordekaiser,1350,Epic,Mordekaiser,darkstarmordekaiser
Morgana,585,Legacy,Morgana,morgana
Naafiri,975,Legacy,Naafiri,naafiri
Soul Fighter Naafiri,1350,Epic,Naafiri,soulfighternaafiri
Nami,880,Legacy,Nami,nami
Koi Nami,975,Legacy,Nami,koinami
Nasus,585,Legacy,Nasus,nasus
Galactic Nasus,520,Legacy,Nasus,galacticnasus
Pharaoh Nasus,520,Legacy,Nasus,pharaohnasus
Dreadknight Nasus,975,Legacy,Nasus,dreadknightnasus
Nautilus,880,Legacy,Nautilus,nautilus
Abyssal Nautilus,975,Legacy,Nautilus,abyssalnautilus
Subterranean Nautilus,975,Legacy,Nautilus,subterraneannautilus
AstroNautilus Nautilus,1350,Epic,Nautilus,astronautilusnautilus
Neeko,975,Legacy,Neeko,neeko
Winter Wonder Neeko,1350,Epic,Neeko,winterwonderneeko
Nidalee,790,Legacy,Nidalee,nidalee
Snow Bunny Nidalee,520,Legacy,Nidalee,snowbunnynidalee
Leopard Nidalee,520,Legacy,Nidalee,leopardnidalee
French Maid Nidalee,520,Legacy,Nidalee,frenchmaidnidalee
Pharaoh Nidalee,520,Legacy,Nidalee,pharaohnidalee
Bewitching Nidalee,975,Legacy,Nidalee,bewitchingnidalee
Headhunter Nidalee,975,Legacy,Nidalee,headhunternidalee
Warring Kingdoms Nidalee,975,Legacy,Nidalee,warringkingdomsnidalee
Challenger Nidalee,975,Legacy,Nidalee,challengernidalee
Nilah,975,Legacy,Nilah,nilah
Star Guardian Nilah,1350,Epic,Nilah,starguardiannilah
Nocturne,880,Legacy,Nocturne,nocturne
Frozen Terror Nocturne,975,Legacy,Nocturne,frozenterrornocturne
Void Nocturne,520,Legacy,Nocturne,voidnocturne
Ravager Nocturne,520,Legacy,Nocturne,ravagernocturne
Haunting Nocturne,975,Legacy,Nocturne,hauntingnocturne
Eternum Nocturne,1820,Legendary,Nocturne,eternumnocturne
Cursed Revenant Nocturne,750,Legacy,Nocturne,cursedrevenantnocturne
Old God Nocturne,1350,Epic,Nocturne,oldgodnocturne
Nunu & Willump,260,Legacy,Nunu & Willump,nunuwillump
Sasquatch Nunu & Willump,520,Legacy,Nunu & Willump,sasquatchnunuwillump
Workshop Nunu & Willump,520,Legacy,Nunu & Willump,workshopnunuwillump
Grungy Nunu & Willump,750,Legacy,Nunu & Willump,grungynunuwillump
Nunu Bot Nunu & Willump,1820,Legendary,Nunu & Willump,nunubotnunuwillump
Demolisher Nunu & Willump,975,Legacy,Nunu & Willump,demolishernunuwillump
TPA Nunu & Willump,750,Legacy,Nunu & Willump,tpanunuwillump
Zombie Nunu & Willump,1350,Epic,Nunu & Willump,zombienunuwillump
Papercraft Nunu & Willump,1350,Epic,Nunu & Willump,papercraftnunuwillump
Olaf,790,Legacy,Olaf,olaf
Forsaken Olaf,520,Legacy,Olaf,forsakenolaf
Glacial Olaf,520,Legacy,Olaf,glacialolaf
Brolaf Olaf,1820,Legendary,Olaf,brolafolaf
Orianna,880,Legacy,Orianna,orianna
Gothic Orianna,520,Legacy,Orianna,gothicorianna
Sewn Chaos Orianna,520,Legacy,Orianna,sewnchaosorianna
Bladecraft Orianna,975,Legacy,Orianna,bladecraftorianna
TPA Orianna,750,Legacy,Orianna,tpaorianna
Winter Wonder Orianna,975,Legacy,Orianna,winterwonderorianna
Heartseeker Orianna,1350,Epic,Orianna,heartseekerorianna
Dark Star Orianna,1350,Epic,Orianna,darkstarorianna
Ornn,975,Legacy,Ornn,ornn
Thunder Lord Ornn,1350,Epic,Ornn,thunderlordornn
Elderwood Ornn,1350,Epic,Ornn,elderwoodornn
Pantheon,790,Legacy,Pantheon,pantheon
Myrmidon Pantheon,520,Legacy,Pantheon,myrmidonpantheon
Ruthless Pantheon,520,Legacy,Pantheon,ruthlesspantheon
Perseus Pantheon,750,Legacy,Pantheon,perseuspantheon
Full Metal Pantheon,975,Legacy,Pantheon,fullmetalpantheon
Glaive Warrior Pantheon,975,Legacy,Pantheon,glaivewarriorpantheon
Dragonslayer Pantheon,1350,Epic,Pantheon,dragonslayerpantheon
Poppy,260,Legacy,Poppy,poppy
Noxus Poppy,520,Legacy,Poppy,noxuspoppy
Blacksmith Poppy,975,Legacy,Poppy,blacksmithpoppy
Lollipoppy Poppy,975,Legacy,Poppy,lollipoppypoppy
Ragdoll Poppy,975,Legacy,Poppy,ragdollpoppy
Battle Regalia Poppy,520,Legacy,Poppy,battleregaliapoppy
Pyke,975,Legacy,Pyke,pyke
Sand Wraith Pyke,1350,Epic,Pyke,sandwraithpyke
Qiyana,975,Legacy,Qiyana,qiyana
Battle Boss Qiyana,1350,Epic,Qiyana,battlebossqiyana
Quinn,880,Legacy,Quinn,quinn
Phoenix Quinn,975,Legacy,Quinn,phoenixquinn
Woad Scout Quinn,975,Legacy,Quinn,woadscoutquinn
Corsair Quinn,750,Legacy,Quinn,corsairquinn
Heartseeker Quinn,975,Legacy,Quinn,heartseekerquinn
